Date,Open,High,Low,Close,Adj Close,Volume
13-10-21,18097.84961,18197.80078,18050.75,18161.75,18161.75,506700
14-10-21,18272.84961,18350.75,18248.69922,18338.55078,18338.55078,538700
18-10-21,18500.09961,18543.15039,18445.30078,18477.05078,18477.05078,469900
19-10-21,18602.34961,18604.44922,18377.69922,18418.75,18418.75,368200
20-10-21,18439.90039,18458.30078,18209.34961,18266.59961,18266.59961,371300
21-10-21,18382.69922,18384.19922,18048,18178.09961,18178.09961,365900
22-10-21,18230.69922,18314.25,18034.34961,18114.90039,18114.90039,324700
25-10-21,18229.5,18241.40039,17968.5,18125.40039,18125.40039,418700
26-10-21,18154.5,18310.44922,18099.30078,18268.40039,18268.40039,341400
27-10-21,18295.84961,18342.05078,18167.90039,18210.94922,18210.94922,335200
28-10-21,18187.65039,18190.69922,17799.44922,17857.25,17857.25,374200
29-10-21,17833.05078,17915.84961,17613.09961,17671.65039,17671.65039,336500
01-11-21,17783.15039,17954.09961,17697.09961,17929.65039,17929.65039,281200
02-11-21,17970.90039,18012.25,17847.59961,17888.94922,17888.94922,296400
03-11-21,17947.94922,17988.75,17757.94922,17829.19922,17829.19922,331000
04-11-21,17935.05078,17947.55078,17900.59961,17916.80078,17916.80078,48500
08-11-21,18040.19922,18087.80078,17836.09961,18068.55078,18068.55078,338900
09-11-21,18084.34961,18112.59961,17983.05078,18044.25,18044.25,270200
10-11-21,17973.44922,18061.25,17915,18017.19922,18017.19922,261400
11-11-21,17967.44922,17971.34961,17798.19922,17873.59961,17873.59961,232100
12-11-21,17977.59961,18123,17905.90039,18102.75,18102.75,249100
15-11-21,18140.94922,18210.15039,18071.30078,18109.44922,18109.44922,280400
16-11-21,18127.05078,18132.65039,17958.80078,17999.19922,17999.19922,267400
17-11-21,17939.34961,18022.65039,17879.25,17898.65039,17898.65039,295700
18-11-21,17890.55078,17945.59961,17688.5,17764.80078,17764.80078,278400
22-11-21,17796.25,17805.25,17280.44922,17416.55078,17416.55078,356400
23-11-21,17281.75,17553.69922,17216.09961,17503.34961,17503.34961,308800
24-11-21,17550.05078,17600.59961,17354,17415.05078,17415.05078,298100
25-11-21,17417.30078,17564.34961,17351.69922,17536.25,17536.25,255900
26-11-21,17338.75,17355.40039,16985.69922,17026.44922,17026.44922,356300
29-11-21,17055.80078,17160.69922,16782.40039,17053.94922,17053.94922,348900
30-11-21,17051.15039,17324.65039,16931.40039,16983.19922,16983.19922,498000
01-12-21,17104.40039,17213.05078,17064.25,17166.90039,17166.90039,295500
02-12-21,17183.19922,17420.34961,17149.30078,17401.65039,17401.65039,279900
03-12-21,17424.90039,17489.80078,17180.80078,17196.69922,17196.69922,292500
06-12-21,17209.05078,17216.75,16891.69922,16912.25,16912.25,231700
07-12-21,17044.09961,17251.65039,16987.75,17176.69922,17176.69922,254100
08-12-21,17315.25,17484.59961,17308.94922,17469.75,17469.75,257800
09-12-21,17524.40039,17543.25,17379.59961,17516.84961,17516.84961,237200
10-12-21,17476.05078,17534.34961,17405.25,17511.30078,17511.30078,204500
13-12-21,17619.09961,17639.5,17355.94922,17368.25,17368.25,256600
14-12-21,17283.19922,17376.19922,17225.80078,17324.90039,17324.90039,271000
15-12-21,17323.65039,17351.19922,17192.19922,17221.40039,17221.40039,215000
16-12-21,17373,17379.34961,17184.94922,17248.40039,17248.40039,219500
17-12-21,17276,17298.15039,16966.44922,16985.19922,16985.19922,354600
20-12-21,16824.25,16840.09961,16410.19922,16614.19922,16614.19922,330600
21-12-21,16773.15039,16936.40039,16688.25,16770.84961,16770.84961,241000
22-12-21,16865.55078,16971,16819.5,16955.44922,16955.44922,207900
23-12-21,17066.80078,17118.65039,17015.55078,17072.59961,17072.59961,197000
24-12-21,17149.5,17155.59961,16909.59961,17003.75,17003.75,182600
27-12-21,16937.75,17112.05078,16833.19922,17086.25,17086.25,144800
28-12-21,17177.59961,17250.25,17161.15039,17233.25,17233.25,176000
29-12-21,17220.09961,17285.94922,17176.65039,17213.59961,17213.59961,161700
30-12-21,17201.44922,17264.05078,17146.34961,17203.94922,17203.94922,320800
31-12-21,17244.5,17400.80078,17238.5,17354.05078,17354.05078,167000
03-01-22,17387.15039,17646.65039,17383.30078,17625.69922,17625.69922,200500
04-01-22,17681.40039,17827.59961,17593.55078,17805.25,17805.25,247400
05-01-22,17820.09961,17944.69922,17748.84961,17925.25,17925.25,251500
06-01-22,17768.5,17797.94922,17655.55078,17745.90039,17745.90039,236500
07-01-22,17797.59961,17905,17704.55078,17812.69922,17812.69922,239300
10-01-22,17913.30078,18017.44922,17879.15039,18003.30078,18003.30078,232400
11-01-22,17997.75,18081.25,17964.40039,18055.75,18055.75,220200
12-01-22,18170.40039,18227.94922,18128.80078,18212.34961,18212.34961,245000
13-01-22,18257,18272.25,18163.80078,18257.80078,18257.80078,303700
14-01-22,18185,18286.94922,18119.65039,18255.75,18255.75,229500
17-01-22,18235.65039,18321.55078,18228.75,18308.09961,18308.09961,266700
18-01-22,18337.19922,18350.94922,18085.90039,18113.05078,18113.05078,227500
19-01-22,18129.19922,18129.19922,17884.90039,17938.40039,17938.40039,276700
20-01-22,17921,17943.69922,17648.44922,17757,17757,258100
21-01-22,17613.69922,17707.59961,17485.84961,17617.15039,17617.15039,277600
24-01-22,17575.15039,17599.40039,16997.84961,17149.09961,17149.09961,323800
25-01-22,17001.55078,17309.15039,16836.80078,17277.94922,17277.94922,326500
27-01-22,17062,17182.5,16866.75,17110.15039,17110.15039,395600
28-01-22,17208.30078,17373.5,17077.09961,17101.94922,17101.94922,355300
31-01-22,17301.05078,17410,17264.15039,17339.84961,17339.84961,321700
01-02-22,17529.44922,17622.40039,17244.55078,17576.84961,17576.84961,386400
02-02-22,17706.19922,17794.59961,17674.80078,17780,17780,271200
03-02-22,17767.75,17781.15039,17511.15039,17560.19922,17560.19922,226600
04-02-22,17590.19922,17617.80078,17462.55078,17516.30078,17516.30078,261400
07-02-22,17456.30078,17536.75,17119.40039,17213.59961,17213.59961,265000
08-02-22,17279.84961,17306.44922,17043.65039,17266.75,17266.75,268500
09-02-22,17370.09961,17477.15039,17339,17463.80078,17463.80078,236400
10-02-22,17554.09961,17639.44922,17427.15039,17605.84961,17605.84961,273600
11-02-22,17451,17454.75,17303,17374.75,17374.75,253100
14-02-22,17076.15039,17099.5,16809.65039,16842.80078,16842.80078,305500
15-02-22,16933.25,17375,16839.25,17352.44922,17352.44922,298700
16-02-22,17408.44922,17490.59961,17257.69922,17322.19922,17322.19922,244500
17-02-22,17396.55078,17442.90039,17235.84961,17304.59961,17304.59961,232100
18-02-22,17236.05078,17380.80078,17219.19922,17276.30078,17276.30078,189600
21-02-22,17192.25,17351.05078,17070.69922,17206.65039,17206.65039,215200
22-02-22,16847.94922,17148.55078,16843.80078,17092.19922,17092.19922,300100
23-02-22,17194.5,17220.69922,17027.84961,17063.25,17063.25,200200
24-02-22,16548.90039,16705.25,16203.25,16247.9502,16247.9502,458000
25-02-22,16515.65039,16748.80078,16478.30078,16658.40039,16658.40039,329800
28-02-22,16481.59961,16815.90039,16356.29981,16793.90039,16793.90039,404200
02-03-22,16593.09961,16678.5,16478.65039,16605.94922,16605.94922,517700
03-03-22,16723.19922,16768.94922,16442.94922,16498.05078,16498.05078,442100
04-03-22,16339.4502,16456,16133.79981,16245.34961,16245.34961,456100
07-03-22,15867.9502,15944.59961,15711.4502,15863.15039,15863.15039,585400
08-03-22,15747.75,16028.75,15671.4502,16013.4502,16013.4502,543600
09-03-22,16078,16418.05078,15990,16345.34961,16345.34961,462200
10-03-22,16757.09961,16757.30078,16447.90039,16594.90039,16594.90039,486400
11-03-22,16528.80078,16694.40039,16470.90039,16630.44922,16630.44922,343700
14-03-22,16633.69922,16887.94922,16606.5,16871.30078,16871.30078,314700
15-03-22,16900.65039,16927.75,16555,16663,16663,381600
16-03-22,16876.65039,16987.90039,16837.84961,16975.34961,16975.34961,260000
17-03-22,17202.90039,17344.59961,17175.75,17287.05078,17287.05078,448300
17-03-22,17202.90039,17344.59961,17175.75,17287.05078,17287.05078,0
